,SPY_open,SPY_high,SPY_low,SPY_close,VBM,ATR,weekly_range
395,273.34,274.08,272.36,272.98,-80.45038409926762,2.9538857142857102,0.0
396,271.52,271.61,270.03,271.1,-83.34316117082572,2.9303142857142865,0.0
397,271.11,272.76,271.11,272.24,-85.19944972345797,2.7906571428571403,0.0
398,271.93,273.23,271.13,272.01,-85.75180346398061,2.8092285714285725,0.0
399,271.61,272.03,270.93,271.33,-87.17980402415657,2.640657142857143,4.050000000000011
400,272.99,273.98,271.3512,273.37,-87.09359946589073,2.6163714285714303,0.0
401,273.94,274.25,272.24,272.61,-90.96595307387943,2.5513714285714286,0.0
402,271.19,273.39,270.99,273.36,-92.76022933656222,2.4149428571428553,0.0
403,272.95,273.22,270.78,272.8,-91.51813766339548,2.1964285714285716,0.0
404,272.15,272.86,271.58,272.15,-95.34207495884328,2.1450000000000022,3.4700000000000273
405,274.51,275.185,274.26,274.9,-102.15947715466726,2.4392857142857207,0.0
406,275.02,275.53,274.18,275.1,-102.64242680477744,2.3250000000000006,0.0
407,275.9,277.52,275.09,277.4,-102.79985452203923,2.3800000000000034,0.0
408,277.98,278.28,276.34,277.37,-106.05246580818657,2.3685714285714305,0.0
409,276.78,278.25,276.66,278.19,-107.29200793704759,2.403571428571431,4.099999999999966
410,278.42,279.37,278.31,278.56,-113.22264660794552,2.298571428571429,0.0
411,279.05,279.33,278.19,278.92,-121.47302032235464,2.2364285714285717,0.0
412,279.21,279.48,277.8,278.03,-121.97004933051446,2.1850000000000023,0.0
413,279.01,279.33,278.0599,278.73,-120.64167486803257,2.093571428571429,0.0
414,276.65,277.51,275.35,277.13,-123.76313920454547,2.243571428571426,4.1299999999999955
415,275.47,276.7,274.95,276.56,-124.0481927710843,2.085714285714285,0.0
416,273.98,275.75,273.53,275.5,-123.78132118451016,2.009999999999999,0.0
417,276.27,276.72,275.59,275.97,-125.85433975605419,1.928928571428571,0.0
418,275.98,275.98,273.68,274.24,-128.30758226037182,1.878928571428572,0.0
419,275.67,275.785,274.49,274.74,-130.48221485529942,1.8760714285714317,3.1900000000000546
420,273.45,273.6162,269.1,271.0,-124.31106243154419,2.1825000000000045,0.0
421,271.61,272.56,270.79,271.6,-123.37382321086373,2.1353571428571456,0.0
422,272.27,273.865,269.18,269.35,-120.58049959709898,2.3314285714285745,0.0
423,269.26,271.75,268.49,270.89,-117.86255924170607,2.45071428571429,0.0
424,272.08,273.66,271.1495,271.28,-116.29150306266662,2.5642857142857207,5.375
425,276.56,277.96,276.5,277.9,-114.40333975594089,2.8232142857142923,0.0
426,278.4,279.01,278.08,278.9,-116.06358668653743,2.686071428571434,0.0
427,277.17,278.04,276.52,276.86,-115.8473482062596,2.7689285714285745,0.0
428,278.29,279.43,277.6,279.37,-109.42039900648972,2.7882142857142873,0.0
429,279.19,279.93,278.66,279.59,-111.90889052167516,2.768571428571428,3.430000000000007
430,279.66,279.803,278.84,279.34,-111.88955996548736,2.434500000000002,0.0
431,278.48,280.91,278.41,280.47,-111.0539736506585,2.4866428571428605,0.0
432,280.57,281.18,280.06,281.06,-111.24382342354112,2.2320000000000033,0.0
433,280.31,280.74,279.46,280.0,-111.35015752379071,2.113428571428577,0.0
434,279.8,280.48,279.5,279.68,-111.94717303459346,1.9855714285714328,2.769999999999982
435,279.46,280.43,279.06,280.2,-113.4823127912316,1.8834285714285752,0.0
436,281.79,282.56,280.63,281.61,-116.80650113469464,1.8691428571428617,0.0
437,281.37,284.37,281.28,284.01,-116.1533909727469,1.9270000000000047,0.0
438,283.15,284.11,283.09,283.34,-121.30210104032052,1.7766428571428645,0.0
439,283.73,283.82,280.38,281.42,-115.97103918228248,1.8409285714285812,5.310000000000002
440,281.51,281.69,279.36,279.95,-118.67677396116414,1.9280714285714364,0.0
441,280.7,282.02,280.38,281.33,-117.26863951430911,1.905928571428579,0.0
442,281.48,282.13,280.1315,280.86,-124.62272370452773,1.8651071428571495,0.0
443,279.44,282.58,279.16,282.39,-121.49165848871428,2.0186785714285764,0.0
444,282.55,283.6577,282.33,283.6,-128.72852160372005,2.0447285714285743,4.497699999999952
