,SPY_high,SPY_low,KC Upper,KC Lower,BBANDS Upper,BBands Lower,weekly_range
970,453.07,450.71,452.3145830969131,436.85778309691307,451.87779867432926,437.1512013256706,0.0
971,452.49,450.92,452.0687561353024,438.4319561353024,452.8545046282059,437.21549537179413,0.0
972,453.11,451.545,451.86453174146413,439.8837317414641,453.50740345014543,437.84459654985466,0.0
973,454.05,451.91,452.00728109941986,441.1344810994199,454.5308323448831,437.964167655117,0.0
974,453.63,451.55,452.2431971851894,442.13839718518943,455.3960904391902,438.1579095608099,3.340000000000032
975,436.56,428.86,456.1971796089628,434.95409960896285,457.09963113922305,438.9543688607768,0.0
976,437.91,433.07,455.5599596462045,433.3159596462045,458.4751805174266,436.2158194825734,0.0
977,440.03,433.747,455.65148729894685,431.9714872989469,458.7418406360215,434.93815936397846,0.0
978,444.89,439.6,456.2273456514281,431.2753456514281,458.52121670607363,434.58578329392634,0.0
979,444.67,441.21,455.6984555893874,431.83445558938735,458.46185355320574,434.4101464467942,16.029999999999973
980,444.05,441.9,455.05917410468385,432.2591741046838,458.05477975904336,434.05622024095675,0.0
981,440.04,432.94,455.028586094714,430.39658609471394,457.951257020195,432.308742979805,0.0
982,437.04,433.85,453.9116731333126,429.9396731333126,457.56404393098944,430.98495606901076,0.0
983,436.77,428.78,453.4239899777591,427.9919899777591,457.54656530060726,428.73643469939276,0.0
984,436.0329,427.24,453.3365709322582,426.84741093225824,456.3060499461696,428.0819500538303,16.810000000000002
985,433.96,426.36,451.313905129186,426.688745129186,455.34523916900815,426.5987608309917,0.0
986,435.49,429.39,451.1538741645017,425.7247141645017,453.9439303169425,426.16406968305745,0.0
987,435.1199,427.54,451.0527785297872,425.1516585297872,452.33070600285487,426.1762939971451,0.0
988,441.68,438.2,451.05590057456936,425.2547805745694,450.98697324319886,426.48802675680116,0.0
989,439.89,437.19,450.8757729008009,425.3786529008009,450.19696767284984,426.52003232715015,15.319999999999993
990,440.26,434.62,451.24641929120077,424.3532992912008,449.04514850438363,426.4828514956164,0.0
991,436.1,432.78,449.5723374539436,425.23121745394354,448.23962161444064,426.2333783855593,0.0
992,436.05,431.54,449.5987396011871,424.78161960118706,446.4204596940155,426.78254030598436,0.0
993,442.66,438.58,450.0024367820264,425.3893167820264,445.31186611324495,427.42413388675493,0.0
994,446.26,444.09,449.7743447075477,427.1743847075477,446.2589544082639,426.9240455917361,14.71999999999997
995,447.55,443.27,449.8844052115907,428.72444521159065,447.9221870640535,426.57581293594666,0.0
996,450.7,448.27,450.2959837628678,430.47202376286776,450.1769700644175,426.02202993558245,0.0
