,SPY_high,SPY_low,BBANDS Upper,BBands Lower,APZ Upper,APZ Lower,weekly_range
709,298.78,290.23,354.00335979681853,288.21364020318146,317.2863755912691,296.89309588072877,23.609999999999957
710,284.19,273.45,356.7255809893489,279.6944190106511,311.4514135896126,289.89239482200634,0.0
711,288.52,273.5,355.77991078433615,276.01408921566394,309.0325076908088,286.1917129980871,0.0
712,281.94,270.88,355.6994093548349,270.004590645165,304.60570523154274,280.5287386560208,0.0
713,266.66,247.68,358.4594014958219,258.313598504178,296.455160180649,270.92810912823023,0.0
714,271.4754,248.5237,356.0603303785509,253.93866962144915,293.38006707924376,266.106832583542,40.839999999999975
715,262.43,253.53,315.20829766370656,210.6497023362934,263.3597686636516,219.50948978955114,0.0
716,263.33,256.22,310.06596117242185,211.5430388275782,264.5028512800097,220.17324257104764,0.0
717,257.6591,243.9,300.5338299048861,214.4041700951139,263.6059389689006,218.79170402211054,0.0
718,252.68,244.59,292.46276552379766,217.41223447620234,263.83992929881947,218.72810436164912,0.0
719,253.32,245.22,284.27827141124203,220.669728588758,263.43620288305965,218.1834922095186,19.42999999999998
720,286.7912,281.35,296.5461012317957,229.4378987682042,292.60937759177904,249.0755988910358,0.0
721,278.04,272.02,293.4817188616911,237.511281138309,292.5913822368983,249.78286333584538,0.0
722,281.0,276.91,293.8156427212094,240.7723572787906,293.5342672143779,251.54371937836697,0.0
723,283.94,278.75,294.07113669139335,243.7458633086067,294.2765335824241,253.13745396410084,0.0
724,283.7,278.5,295.6345958311206,244.35940416887937,295.5254600553348,255.25816474599577,14.771200000000022
725,288.27,284.62,297.1490983439708,246.20790165602926,297.2222963134814,257.88761031164455,0.0
726,291.4,285.4,298.63210633321745,247.13289366678254,298.41065440853237,259.9734528426629,0.0
727,294.88,290.41,300.8964671476106,248.4145328523893,300.6600358556115,263.1344511919123,0.0
728,293.3239,288.59,300.31459964028323,253.4294003597168,302.0619028709197,265.44335684259846,0.0
729,290.6572,281.52,298.7870704298532,258.05292957014683,301.9411524466214,266.0728015386813,13.360000000000014
730,283.9,279.13,294.8462473900282,265.5317526099717,301.8972995964027,266.78769135743823,0.0
731,289.25,283.7134,294.22307977662035,268.28792022337973,302.2558170788963,267.88040284932464,0.0
732,288.46,283.78,292.76868916936445,271.65431083063555,302.159998328239,268.52073959593054,0.0
733,289.78,287.13,292.97847561457223,272.8095243854278,302.57188367209056,269.73142500968817,0.0
734,292.95,287.68,294.2881314648073,272.9238685351928,303.70243450442996,271.6193350623003,13.819999999999993
735,294.0,289.88,295.14770702992183,273.7482929700781,304.6222084608722,273.2939769647707,0.0
736,294.24,286.52,295.3318649408273,273.85213505917267,304.3979538094948,273.69728451255804,0.0
737,287.19,278.965,295.1400394786836,274.4279605213164,303.3221404297657,273.1219412916173,0.0
738,285.11,272.99,295.0820229245182,275.0729770754818,303.03872325288404,273.10106308181815,0.0
739,286.33,281.34,295.0534760276852,275.06552397231474,302.96500060047856,273.3267747837873,21.25
740,296.75,292.7,296.5121743730273,274.94782562697276,304.3465108001396,275.06681110951564,0.0
741,296.205,291.95,295.9919863138214,277.3610136861785,304.95547368580884,276.07339641086554,0.0
742,297.87,295.57,297.2365308305289,277.89946916947116,306.2502738087932,277.85947189618884,0.0
743,297.67,293.6886,297.68221318818803,279.033786811812,306.9533526392861,279.07158162045437,0.0
744,295.63,293.22,298.4552160496451,279.50778395035485,307.571654543501,280.26132865190976,5.920000000000016
745,306.205,303.06,307.88656212233565,277.69543787766435,314.57944255415214,289.29086667652587,0.0
746,308.13,305.1,309.9181758798968,278.1148241201032,316.09945815287466,291.25338715351717,0.0
747,313.22,309.94,312.7031415283286,277.92885847167133,318.0551780017951,293.67172319108414,0.0
748,313.0,309.08,314.64335668291926,278.6996433170807,319.54539954634265,295.61620154286607,0.0
749,321.275,317.16,318.344231836512,278.164768163488,322.1623148761643,298.67026463076144,18.214999999999975
750,323.41,319.63,322.54169535881397,277.04330464118596,325.03412659604857,301.97254598744547,0.0
751,323.2849,319.36,325.51184560740506,276.9021543925949,327.038976557969,304.39399879472614,0.0
752,322.39,318.2209,327.3568339507013,278.29016604929865,328.4024825053581,306.1511317032662,0.0
753,312.15,300.01,326.2302493001696,281.3177506998304,326.46064872216425,304.3171826053383,0.0
754,309.08,298.6,325.3754394048664,284.09656059513355,325.44020221768875,303.22245456899026,24.810000000000002
755,308.28,296.74,324.50582302067966,287.0431769793203,325.1050381460752,302.62803094747125,0.0
756,315.64,307.67,324.9453453982172,288.3996546017828,325.8362658708071,303.06728389706325,0.0
757,314.39,310.86,324.6730111597651,290.64098884023497,326.1668981567773,303.2280939058412,0.0
758,312.3,309.51,324.7266907210603,292.07230927893966,326.3871984083495,303.4053906576755,0.0
759,314.38,306.53,324.1246860119394,294.05031398806057,326.03333747238975,302.9464178025166,18.899999999999977
760,311.05,306.75,323.4470282792049,296.24597172079507,326.0118545709983,302.88671777509165,0.0
761,314.5,311.6101,323.1370776107235,297.8529223892765,326.16284345769134,303.1017052088306,0.0
762,310.51,302.1,323.1024504105444,297.94354958945564,324.92851325282874,301.83283775564934,0.0
763,307.64,301.28,322.91369382321466,298.5703061767854,324.40709561862127,301.26350235834536,0.0
764,306.39,299.42,323.3090629972268,297.7479370027732,322.68346868441165,299.46113010967815,15.079999999999984
765,317.68,315.56,322.90157632706524,297.76642367293476,324.0322544434036,301.00842451496084,0.0
766,317.52,313.37,321.02815274365935,298.69784725634065,324.4894695624327,301.6805752987179,0.0
767,316.3,312.7,320.01041759863136,299.25458240136874,325.254858342106,302.69309185307316,0.0
768,317.1,310.68,319.0838448116871,299.71915518831304,325.6061312315707,303.22283204796946,0.0
769,317.88,312.76,319.6609879340905,300.8400120659095,326.44539699780955,304.22532120037977,7.199999999999989
